,accuracy,precision,recall,f1_score,specificity,sensitivity,balanced_accuracy,mcc,cohen_kappa,auc,average_precision,eer,fpr@95tpr,confusion_matrix,accuracy_ci,f1_ci,auc_ci
FFPP,0.9675590135830147,0.9342783505154639,0.9386328327291559,0.9364505295789202,0.9774416135872457,0.9386328327267255,0.9580372231586332,0.9146755962069782,0.914671139184191,0.9948510914226593,0.9853169484428527,0.03812809624911536,0.02945859872611465,"[[11049, 255], [237, 3625]]","(0.611827442964526, 0.6268643676645127)","(0.24307642786707193, 0.26825863843725223)","(0.49039487873524273, 0.5103241983516891)"
DFDC,0.3008001875273033,0.6694869486948695,0.20335183311917326,0.3119508461425546,0.6452002512195539,0.20335183311914545,0.4242760421695195,-0.14771630127636917,-0.08046235849003547,0.43088521150124975,0.7148090847205908,0.546934634523407,0.9419295618145804,"[[13355, 7344], [58278, 14876]]","(0.34969526813207885, 0.35602804385581704)","(0.3594481425811678, 0.36719769730351803)","(0.4953778118316653, 0.5043654210619574)"
CelebDF,0.8480649312085519,0.7743940335612182,0.9836194987171897,0.866556550465096,0.711675933278968,0.9836194987152485,0.8476477159987854,0.7229765587848569,0.6958740996327197,0.968634711074932,0.9690883408208979,0.09253375694996029,0.17017474185861795,"[[3584, 1452], [83, 4984]]","(0.49064386815797284, 0.5103434623379194)","(0.5500473193937021, 0.5713798350472533)","(0.4873567661270104, 0.5114872274050903)"
WildFake,0.9341134424717547,0.9032614149523331,0.9805010893246188,0.9402977278662836,0.8819784524964717,0.9805010893235505,0.9312397709110851,0.8707087758640487,0.8670727624564876,0.9905095459938247,0.9917001788828825,0.04982859941234084,0.049338883447600394,"[[7204, 964], [179, 9001]]","(0.49699965413880565, 0.5111252017523634)","(0.5429223385864574, 0.5595214806727683)","(0.49213863143976805, 0.5082013123159249)"
